区域,省份,编码,燃油类型,车型,车长,适用范围,计价方式,计费模式,阶梯起始,阶梯结束,费率,起步价,保底价,封顶价
中珠江取派中心,广西分区,HT-202608-1215,电动,面包车,2.7,贵港取派部,按重量,匹配,600,9999,0.2,0,80.0,450.0
中珠江取派中心,广西分区,HT-202608-1215,燃油,厢式车,4.2,贵港取派部,按公里,累加,20,50,5.5,0,230.0,700.0
中珠江取派中心,广西分区,HT-202608-1215,电动,高栏车,3.2,贵港取派部,按公里,累加,20,50,3.3,0,85.0,500.0
中珠江取派中心,广西分区,HT-202608-1215,电动,面包车,2.7,贵港取派部,按公里,累加,100,9999,2.6,0,80.0,450.0
中珠江取派中心,广西分区,HT-202608-1215,燃油,厢式车,4.2,贵港取派部,按公里,累加,100,9999,3.5,0,230.0,700.0
中珠江取派中心,广西分区,HT-202608-1215,燃油,厢式车,4.2,贵港取派部,按公里,累加,0,20,230.0,230,230.0,700.0
中珠江取派中心,广西分区,HT-202608-1215,燃油,厢式车,4.2,贵港取派部,按重量,匹配,0,30,30.0,30,230.0,700.0
中珠江取派中心,广西分区,HT-202608-1215,电动,面包车,2.7,贵港取派部,按公里,累加,50,100,2.8,0,80.0,450.0
中珠江取派中心,广西分区,HT-202608-1215,燃油,厢式车,4.2,贵港取派部,按重量,匹配,30,60,45.0,45,230.0,700.0
中珠江取派中心,广西分区,HT-202608-1215,电动,面包车,2.7,贵港取派部,按重量,匹配,100,200,65.0,65,80.0,450.0
中珠江取派中心,广西分区,HT-202608-1215,电动,面包车,2.7,贵港取派部,按公里,累加,0,20,80.0,80,80.0,450.0
中珠江取派中心,广西分区,HT-202608-1215,燃油,厢式车,4.2,贵港取派部,按重量,匹配,400,600,100.0,100,230.0,700.0
中珠江取派中心,广西分区,HT-202608-1215,电动,面包车,2.7,贵港取派部,按重量,匹配,0,30,30.0,30,80.0,450.0
中珠江取派中心,广西分区,HT-202608-1215,电动,高栏车,3.2,贵港取派部,按重量,匹配,200,400,80.0,80,85.0,500.0
中珠江取派中心,广西分区,HT-202608-1215,燃油,厢式车,4.2,贵港取派部,按重量,匹配,60,100,60.0,60,230.0,700.0
中珠江取派中心,广西分区,HT-202608-1215,电动,高栏车,3.2,贵港取派部,按公里,累加,50,100,3.1,0,85.0,500.0
中珠江取派中心,广西分区,HT-202608-1215,电动,高栏车,3.2,贵港取派部,按重量,匹配,60,100,55.0,55,85.0,500.0
中珠江取派中心,广西分区,HT-202608-1215,电动,面包车,2.7,贵港取派部,按公里,累加,20,50,3.0,0,80.0,450.0
中珠江取派中心,广西分区,HT-202608-1215,电动,高栏车,3.2,贵港取派部,按重量,匹配,400,600,95.0,95,85.0,500.0
中珠江取派中心,广西分区,HT-202608-1215,燃油,厢式车,4.2,贵港取派部,按公里,累加,50,100,4.0,0,230.0,700.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,2.7,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按公里,累加,50,100,2.5,0,70.0,290.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按公里,累加,50,100,2.5,0,90.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按公里,累加,0,10,95.0,95,95.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按公里,累加,50,100,2.5,0,95.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按公里,累加,10,30,4.2,0,150.0,500.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按公里,累加,10,30,2.9,0,70.0,270.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按公里,累加,30,50,2.3,0,70.0,270.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按公里,累加,100,9999,2.0,0,95.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,20,30,0.8,0,170.0,550.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,2.7,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,30,50,0.5,0,70.0,290.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,200,300,0.4,0,95.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,2.7,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,0,10,10.0,10,70.0,290.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,300,500,0.3,0,170.0,550.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,2.7,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,10,20,0.85,0,70.0,290.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,200,300,0.15,0,90.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,500,9999,0.11,0,95.0,300.0
